relname,seq_scan,idx_scan,n_tup_ins,n_tup_upd,n_tup_del
bookings,2,0,0,0,0
consumer_inbox,1,486522,486522,0,0
dead_letters,8,0,0,0,0
event_reconciliation,54479,2365009,801,1483092,0
event_seats,252532,2040984,240300,486522,0
events,34424,2858171,801,0,0
holds,180,2170249,243261,243261,0
idempotency_records,36,486522,243261,243261,0
order_items,8,14,243261,0,0
orders,29381,1521859,243261,243261,0
outbox_events,24,1547030,486522,973044,0
payment_attempts,700839,0,0,0,0
payment_callbacks,1,0,0,0,0
refund_requests,1,0,0,0,0
schema_migrations,1,35,5,0,0
seat_refresh_requests,486118,1611497,801,1148497,0
tickets,2,0,0,0,0
