2026-09-12 12:43:09.442918+00,bookings,2,0,0,0,0
2026-09-12 12:43:09.442922+00,consumer_inbox,1,252528,252528,0,0
2026-09-12 12:43:09.442923+00,dead_letters,5,0,0,0,0
2026-09-12 12:43:09.442924+00,event_reconciliation,31899,1325108,801,837985,0
2026-09-12 12:43:09.442924+00,event_seats,252532,902416,240300,252528,0
2026-09-12 12:43:09.442925+00,events,19455,1676763,801,0,0
2026-09-12 12:43:09.442926+00,holds,165,1058844,126264,126264,0
2026-09-12 12:43:09.442926+00,idempotency_records,21,252528,126264,126264,0
2026-09-12 12:43:09.442927+00,order_items,5,8,126264,0,0
2026-09-12 12:43:09.442927+00,orders,29366,743718,126264,126264,0
2026-09-12 12:43:09.442928+00,outbox_events,24,824407,252528,505056,0
2026-09-12 12:43:09.442929+00,payment_attempts,394691,0,0,0,0
2026-09-12 12:43:09.442929+00,payment_callbacks,1,0,0,0,0
2026-09-12 12:43:09.44293+00,refund_requests,1,0,0,0,0
2026-09-12 12:43:09.44293+00,schema_migrations,1,30,5,0,0
2026-09-12 12:43:09.442931+00,seat_refresh_requests,135575,611114,801,447319,0
2026-09-12 12:43:09.442931+00,tickets,2,0,0,0,0
