2026-09-12 13:17:16.694877+00,bookings,2,0,0,0,0
2026-09-12 13:17:16.694883+00,consumer_inbox,1,324528,324528,0,0
2026-09-12 13:17:16.694883+00,dead_letters,5,0,0,0,0
2026-09-12 13:17:16.694884+00,event_reconciliation,37636,1589417,801,1003381,0
2026-09-12 13:17:16.694885+00,event_seats,252532,1236050,240300,324528,0
2026-09-12 13:17:16.694885+00,events,23273,1995856,801,0,0
2026-09-12 13:17:16.694886+00,holds,165,1391556,162264,162264,0
2026-09-12 13:17:16.694887+00,idempotency_records,21,324528,162264,162264,0
2026-09-12 13:17:16.694887+00,order_items,5,8,162264,0,0
2026-09-12 13:17:16.694888+00,orders,29366,976910,162264,162264,0
2026-09-12 13:17:16.694889+00,outbox_events,24,1040111,324528,649056,0
2026-09-12 13:17:16.694889+00,payment_attempts,472872,0,0,0,0
2026-09-12 13:17:16.69489+00,payment_callbacks,1,0,0,0,0
2026-09-12 13:17:16.69489+00,refund_requests,1,0,0,0,0
2026-09-12 13:17:16.694891+00,schema_migrations,1,30,5,0,0
2026-09-12 13:17:16.694891+00,seat_refresh_requests,225378,932536,801,663133,0
2026-09-12 13:17:16.694892+00,tickets,2,0,0,0,0
