procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3595020 103816 2261940    0    0     0  3810 21338 41702 61 11 26  2  0  0 2026-09-09 10:23:16
 2  0      0 3598912 103816 2263684    0    0     0  2276 20138 38401 62 10 26  2  0  0 2026-09-09 10:23:21
 2  0      0 3607696 103816 2265352    0    0     0  2018 21466 36132 47  8 43  2  0  0 2026-09-09 10:23:26
 9  1      0 3507808 103816 2267116    0    0     0  2362 19754 37013 60 10 28  1  0  0 2026-09-09 10:23:31
 5  0      0 3586148 103816 2271080    0    0     0  5028 21346 42580 61 11 25  3  0  0 2026-09-09 10:23:36
 1  0      0 3596040 103816 2273240    0    0     0  4554 21426 38333 52  9 37  2  0  0 2026-09-09 10:23:41
 2  0      0 3579232 103816 2275628    0    0     0  2372 19963 36912 58 10 31  2  0  0 2026-09-09 10:23:46
 1  0      0 3583620 103816 2277888    0    0     0  2357 21700 38258 52  9 37  2  0  0 2026-09-09 10:23:51
10  0      0 3564912 103816 2280232    0    0     0  2728 19343 40476 68 12 18  2  0  0 2026-09-09 10:23:56
 1  0      0 3562792 103816 2282600    0    0     0  8804 20707 37785 56  9 33  2  0  0 2026-09-09 10:24:01
 2  0      0 3526952 103816 2284960    0    0     0  1894 20719 36021 52  9 37  2  0  0 2026-09-09 10:24:06
 2  0      0 3566396 103816 2287256    0    0     0  2362 21325 39509 57 10 31  2  0  0 2026-09-09 10:24:11
 4  0      0 3567604 103816 2289744    0    0     0  2907 21346 41618 60 12 26  2  0  0 2026-09-09 10:24:16
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3553592 103816 2291996    0    0     0  3382 19962 38244 60 11 27  2  0  0 2026-09-09 10:24:21
 1  0      0 3580000 103816 2293836    0    0     0  1827 21551 36662 47  8 43  2  0  0 2026-09-09 10:24:26
11  0      0 3535832 103816 2295360    0    0     0  2270 20030 37233 60 10 28  1  0  0 2026-09-09 10:24:31
 4  0      0 3556064 103816 2299192    0    0     0  2764 19985 40210 64 11 23  2  0  0 2026-09-09 10:24:36
 3  0      0 3545984 103816 2300936    0    0     0  3320 22574 40405 51  9 37  2  0  0 2026-09-09 10:24:41
 1  0      0 3558120 103816 2302316    0    0     0  2154 20047 36143 58  9 32  2  0  0 2026-09-09 10:24:46
 3  0      0 3565700 103816 2303612    0    0    14  2292 20878 38244 54  9 34  2  0  0 2026-09-09 10:24:51
 4  0      0 3557904 103816 2304908    0    0     0  2970 19368 39890 68 12 18  2  0  0 2026-09-09 10:24:56
