relname,seq_scan,idx_scan,n_tup_ins,n_tup_upd,n_tup_del
bookings,2,0,0,0,0
consumer_inbox,1,486522,486522,0,0
dead_letters,8,0,0,0,0
event_reconciliation,53102,2298890,801,1444064,0
event_seats,252532,2021477,240300,486522,0
events,33505,2805199,801,0,0
holds,180,2156245,243261,243261,0
idempotency_records,36,486522,243261,243261,0
order_items,8,14,243261,0,0
orders,29381,1512523,243261,243261,0
outbox_events,24,1537518,486522,973044,0
payment_attempts,682196,0,0,0,0
payment_callbacks,1,0,0,0,0
refund_requests,1,0,0,0,0
schema_migrations,1,35,5,0,0
seat_refresh_requests,486118,1602163,801,1148497,0
tickets,2,0,0,0,0
