relname,seq_scan,idx_scan,n_tup_ins,n_tup_upd,n_tup_del
bookings,2,0,0,0,0
consumer_inbox,1,324528,324528,0,0
dead_letters,6,0,0,0,0
event_reconciliation,41101,1748998,801,1101340,0
event_seats,252532,1284865,240300,324528,0
events,25584,2123145,801,0,0
holds,170,1426803,162264,162264,0
idempotency_records,26,324528,162264,162264,0
order_items,6,10,162264,0,0
orders,29371,1000410,162264,162264,0
outbox_events,24,1064040,324528,649056,0
payment_attempts,519748,0,0,0,0
payment_callbacks,1,0,0,0,0
refund_requests,1,0,0,0,0
schema_migrations,1,35,5,0,0
seat_refresh_requests,225378,956035,801,663133,0
tickets,2,0,0,0,0
